Name,Mass [kg],Radius [km],Density [g/cm3],Position X [km],Y,Z,Velocity X [km/s],Y,Z,Distance to center [RG],2459577.500000000 = A.D. 2021-Dec-29 00:00:00.0000 TDB 
Sun,1.98850000000000E+30,6.95700000000000E+05,1.40800000000000E+00,-1.28216124885660E+06,5.04498236752466E+05,2.58286601146581E+04,-5.86813881901738E-03,-1.46066775981397E-02,2.52633815436521E-04,1.37808673843092E+06,
Mercury,3.30200000000000E+23,2.44000000000000E+03,5.42700000000000E+00,5.20175511271351E+07,-1.84287754923944E+07,-6.41039533128993E+06,6.81959655693286E+00,4.80817404057891E+01,3.30451124376864E+00,5.55566248049377E+07,
Venus,4.86850000000000E+24,6.05184000000000E+03,5.20400000000000E+00,-2.34134707347822E+06,1.08143711155598E+08,1.56429616889670E+06,-3.51443614671904E+01,-5.45227850642146E-01,2.02062407303701E+00,1.08180364166183E+08,
Earth,5.97219000000000E+24,6.37101000000000E+03,5.51000000000000E+00,-1.96502754341826E+07,1.46469039200647E+08,1.86242124342471E+04,-3.00529037760869E+01,-3.83694865461067E+00,1.58921851534610E-03,1.47781301644901E+08,
Mars,6.41710000000000E+23,3.38992000000000E+03,3.93300000000000E+00,-1.36322797970347E+08,-1.86235598443514E+08,-5.75294987989589E+05,2.05364851236395E+01,-1.21362305816226E+01,-7.57690395472858E-01,2.30798471265303E+08,
Jupiter,1.89818722000000E+27,6.99110000000000E+04,1.32620000000000E+00,6.94371350393571E+08,-2.71278513310687E+08,-1.44093505452865E+07,4.59879687387929E+00,1.27849455715190E+01,-1.55813222605687E-01,7.45621374032817E+08,
Saturn,5.68340000000000E+26,5.82320000000000E+04,6.87000000000000E-01,1.03828309354496E+09,-1.05839966608154E+09,-2.29350375856530E+07,6.35590226785258E+00,6.74367499703639E+00,-3.70013279803539E-01,1.48282421461611E+09,
Uranus,8.68130000000000E+25,2.53620000000000E+04,1.27100000000000E+00,2.15378987931963E+09,2.01568204002992E+09,-2.04164268176477E+07,-4.70328451996793E+00,4.65495555232502E+00,7.84482390226886E-02,2.94994945062502E+09,
Neptune,1.02409000000000E+26,2.46240000000000E+04,1.63800000000000E+00,4.43160671078250E+09,-6.12852535493580E+08,-8.95103659178307E+07,7.08845373653006E-01,5.41576872703952E+00,-1.28570303953487E-01,4.47467746043445E+09,
Pluto,1.30700000000000E+22,1.18830000000000E+03,1.86000000000000E+00,2.26034366656294E+09,-4.62463777798588E+09,-1.58962690245237E+08,5.00587432197391E+00,1.21627593006662E+00,-1.55808458538405E+00,5.14992205819034E+09,
Moon,7.34900000000000E+22,1.73753000000000E+03,3.34370000000000E+00,-1.99665294563625E+07,1.46276871525922E+08,3.52919196811020E+04,-2.94572110493114E+01,-4.70725607576835E+00,-8.43821597720262E-02,1.47633284483759E+08,Earth
Phobos,1.08000000000000E+16,1.31000000000000E+01,1.90000000000000E+00,-1.36315116170897E+08,-1.86231591279960E+08,-5.78692127152621E+05,1.97800255470888E+01,-1.01860903015963E+01,-2.45351482476778E-01,2.30587676736488E+08,Mars
Deimos,1.80000000000000E+15,6.00000000000000E+00,1.76000000000000E+00,-1.36344170408165E+08,-1.86237376861457E+08,-5.65792079181611E+05,2.05880281285059E+01,-1.34797685608973E+01,-8.92331933378299E-01,2.30812507168056E+08,Mars
Io,8.93193800000000E+22,1.82149000000000E+03,3.52800000000000E+00,6.94035635467735E+08,-2.71023472061403E+08,-1.44053669793292E+07,-5.83288740164723E+00,-1.05429705009080E+00,-8.12842272262597E-01,7.45215874968542E+08,Jupiter
Europe,4.79984400000000E+22,1.56080000000000E+03,3.01300000000000E+00,6.93699277646474E+08,-2.71348659349704E+08,-1.44270798648804E+07,5.94161729133658E+00,-7.83253150879948E-01,-6.35107950735323E-01,7.45021424773509E+08,Jupiter
Ganymede,1.48183352589671E+23,2.63120000000000E+03,1.94200000000000E+00,6.93896913800286E+08,-2.70317001390915E+08,-1.43792529997093E+07,-5.14092322276329E+00,7.99342751870202E+00,4.72509863267556E-01,7.44829491319568E+08,Jupiter
Callisto,1.07572495323903E+23,2.41030000000000E+03,1.83400000000000E+00,6.92497560439587E+08,-2.71569373526964E+08,-1.44436340037027E+07,5.85190439636936E+00,4.73970609955622E+00,-3.93059479618886E-01,7.43983477246532E+08,Jupiter
Amalthea,2.07040699364103E+18,8.35000000000000E+01,8.49000000000000E-01,6.94491004729283E+08,-2.71415557856675E+08,-1.44127125525063E+07,2.44721516481872E+01,3.01118618352015E+01,9.26111025997714E-01,7.45782734433871E+08,Jupiter
Himalia,6.68834603973755E+18,8.50000000000000E+01,2.60000000000000E+00,6.87436630791054E+08,-2.65039522706633E+08,-9.28185808579738E+06,1.90038839768710E+00,1.04405506392061E+01,-1.88662997637060E-01,7.36818310602717E+08,Jupiter
Elara,6.97014690076455E+17,4.00000000000000E+01,2.60000000000000E+00,6.83577286118553E+08,-2.72466743273296E+08,-8.41550382454070E+06,5.31539010125816E+00,9.79454154151433E+00,-6.02161470167074E-01,7.35925847481785E+08,Jupiter
Mimas,3.75000000000000E+19,1.98800000000000E+02,1.15200000000000E+00,1.03845408164431E+09,-1.05846294936074E+09,-2.29150893536396E+07,1.12456077653534E+01,1.84480226912619E+01,-7.34397287715165E+00,1.48298880514090E+09,Saturn
Enceladus,1.08050000000000E+20,2.52300000000000E+02,1.60600000000000E+00,1.03849523038504E+09,-1.05831327109695E+09,-2.30008568269736E+07,6.60874135895078E-01,1.69290419248597E+01,-5.15401052305437E+00,1.48291212238865E+09,Saturn
Tethys,6.17600000000000E+20,5.36300000000000E+02,9.56000000000000E-01,1.03843943578123E+09,-1.05862470670189E+09,-2.28267515722206E+07,1.59442735404603E+01,1.17564671363598E+01,-3.80569969990059E+00,1.48309264444695E+09,Saturn
Dione,1.09572000000000E+21,5.62500000000000E+02,1.46900000000000E+00,1.03822964467260E+09,-1.05872792831012E+09,-2.27578419108496E+07,1.62642673517539E+01,5.09523437789057E+00,-4.72074052232526E-01,1.48301838850005E+09,Saturn
Rhea,2.30900000000000E+21,7.64500000000000E+02,1.23300000000000E+00,1.03784294798088E+09,-1.05863867616677E+09,-2.27698249462146E+07,1.09850688891006E+01,2.86384312340185E-01,2.59751302937455E+00,1.48268415256853E+09,Saturn
Titan,1.34553000000000E+23,2.57550000000000E+03,1.88000000000000E+00,1.03904182228365E+09,-1.05759938398027E+09,-2.34232846142886E+07,2.08935238467333E+00,1.01845144743291E+01,-1.71894741793802E+00,1.48279230363261E+09,Saturn
Hyperion,1.08000000000000E+19,1.33000000000000E+02,5.69000000000000E-01,1.03729113318443E+09,-1.05932227369548E+09,-2.23776233248660E+07,1.04878791854484E+01,3.91551802213890E+00,6.53175250797608E-01,1.48278027116498E+09,Saturn
Iapetus,1.80590000000000E+21,7.34500000000000E+02,1.08800000000000E+00,1.04035159760981E+09,-1.06123132653300E+09,-2.26980455360227E+07,8.90112534775377E+00,8.62825565174549E+00,-1.32072846366180E+00,1.48629020596095E+09,Saturn
Phoebe,8.28900000000000E+18,1.06600000000000E+02,1.63300000000000E+00,1.05150570221485E+09,-1.05506423248711E+09,-2.45620111215177E+07,6.48668824556730E+00,5.14179097964321E+00,-3.90737908384331E-01,1.48977450268633E+09,Saturn
Janus,1.98000000000000E+18,8.90000000000000E+01,6.50000000000000E-01,1.03814429029671E+09,-1.05834190598585E+09,-2.29513714735269E+07,3.05343240557454E-01,-6.01734240314668E+00,6.89215168170264E+00,1.48268605000989E+09,Saturn
Epimetheus,5.50000000000000E+17,5.81000000000000E+01,6.30000000000000E-01,1.03815029944511E+09,-1.05832788949890E+09,-2.29588628340686E+07,-1.32315174743478E+00,-5.05379928200725E+00,6.61186297601107E+00,1.48268036855952E+09,Saturn
Helene,2.54700000000000E+19,1.60000000000000E+01,1.50000000000000E+00,1.03861422976719E+09,-1.05856605585132E+09,-2.28801364072763E+07,1.10342335385266E+01,1.44953186198528E+01,-4.84162395206296E+00,1.48317399974431E+09,Saturn
Ariel,1.35300000000000E+21,1.15800000000000E+03,1.67000000000000E+00,2.15395584199023E+09,2.01563449856714E+09,-2.04977266280244E+07,-7.16045966669268E+00,4.51035764572753E+00,-4.85350942600081E+00,2.95003870446724E+09,Uranus
Umbriel,1.17200000000000E+21,5.84700000000000E+02,1.40000000000000E+00,2.15354351780819E+09,2.01572332864929E+09,-2.05063000834227E+07,-6.12334706649961E+00,5.56851823497261E+00,4.43926645562750E+00,2.94979842177356E+09,Uranus
Titania,3.52700000000000E+21,7.88900000000000E+02,1.71000000000000E+00,2.15417121388568E+09,2.01562712779675E+09,-2.02108863572243E+07,-3.11124662821774E+00,3.86174840267389E+00,-3.09846529447596E+00,2.95018894597808E+09,Uranus
Oberon,3.01400000000000E+21,7.61400000000000E+02,1.63000000000000E+00,2.15426034547394E+09,2.01553549393616E+09,-2.07267244527078E+07,-6.43754669026363E+00,4.65727798439437E+00,-2.56059783507440E+00,2.95019500380984E+09,Uranus
Miranda,6.59000000000000E+19,2.35800000000000E+02,1.20000000000000E+00,2.15383788202998E+09,2.01564706324983E+09,-2.05318940468238E+07,-1.07748746360808E+01,5.30387019981058E+00,-2.63165134047248E+00,2.94996140048107E+09,Uranus
Triton,2.13900000000000E+22,1.35260000000000E+03,2.05400000000000E+00,4.43132287375607E+09,-6.13061713224341E+08,-8.94711792250759E+07,-6.48648709214357E-01,7.88790067080540E+00,3.23551908817706E+00,4.47442422749645E+09,Neptune
Proteus,4.40000000000000E+19,2.10000000000000E+02,1.30000000000000E+00,4.43169627991159E+09,-6.12903911315720E+08,-8.95666412624205E+07,4.79141017049839E+00,1.18251700197433E+01,5.14396636838827E-01,4.47477433007692E+09,Neptune
Charon,1.53000000000000E+21,6.06000000000000E+02,1.65000000000000E+00,2.26035617857128E+09,-4.62462284673340E+09,-1.58960572294970E+08,5.08698843073382E+00,1.17725578107195E+00,-1.76224627313724E+00,5.14991407618402E+09,Pluto
Eris,1.66000000000000E+22,2.32600000000000E+03,2.52000000000000E+00,1.28460164615624E+10,5.71291234364372E+09,-2.82221460305159E+09,-7.42471448578539E-01,1.51825243538390E+00,1.60730948137423E+00,1.43395397988418E+10,
Haumea,4.00600000000000E+21,1.59500000000000E+03,1.75700000000000E+00,-5.82879613304907E+09,-3.14002203060652E+09,3.54360169069833E+09,2.17646770723305E+00,-3.16830481496361E+00,-9.13719868053624E-02,7.50944176724623E+09,
Makemake,2.90000000000000E+21,1.43000000000000E+03,1.70000000000000E+00,-6.90744597282829E+09,-8.83238367422409E+08,3.67463467666262E+09,1.00521469784585E-01,-3.74589073788699E+00,-4.35274731784908E-01,7.87374497225813E+09,
Gonggong,1.75000000000000E+21,6.15000000000000E+02,1.74000000000000E+00,1.19718448493698E+10,-5.75598193103573E+09,-3.47851267442380E+08,1.86544779883757E+00,1.36669331566312E+00,1.18655093021941E+00,1.32882428331233E+10,
Quaoar,1.40000000000000E+21,5.60500000000000E+02,2.20000000000000E+00,5.94179073898089E+08,-6.30744064558031E+09,8.87654826433986E+08,4.54939929855633E+00,5.91470941248964E-01,1.69204039640312E-02,6.39724842102200E+09,
Ceres,9.40000000000000E+20,4.69700000000000E+02,2.16200000000000E+00,1.26723408364831E+08,3.86696942854959E+08,-1.13551145371435E+07,-1.73586548201645E+01,4.36248193723951E+00,3.33552946001507E+00,4.07090022559044E+08,
Orcus,6.41000000000000E+20,4.58000000000000E+02,2.30000000000000E+00,-6.45881155624590E+09,2.00509196020016E+09,-2.44139277913690E+09,-9.63944915985568E-01,-3.64866529114894E+00,-3.27740673294802E-01,7.19006531194096E+09,
Salacia,4.92000000000000E+20,4.23000000000000E+02,1.26000000000000E+00,6.12556281232212E+09,6.75733752216386E+08,2.72888439841890E+09,-2.06652162938157E-01,4.26570625495498E+00,2.41343168332777E-01,6.73987729350633E+09,
Varda,2.45000000000000E+20,3.73000000000000E+02,1.23000000000000E+00,-6.59334205415061E+08,-6.41509635805714E+09,2.50336868310424E+09,4.35274148189206E+00,2.33128201286429E-01,3.08946903156077E-02,6.91773356245638E+09,
Varuna,1.55000000000000E+20,3.34000000000000E+02,9.92000000000000E-01,-3.73982455949168E+09,5.34674389572457E+09,9.36577377532647E+08,-3.52551735230966E+00,-2.41366142313518E+00,1.17557144097239E+00,6.59174750778206E+09,
Vesta,2.71000000000000E+20,2.62700000000000E+02,3.40000000000000E+00,-7.89655566603047E+07,-3.11497945968220E+08,1.88056379594976E+07,2.03780599512113E+01,-5.25889164568006E+00,-2.32322219418644E+00,3.21900887697060E+08,
Pallas,2.11000000000000E+20,2.56000000000000E+02,2.80000000000000E+00,4.33578423244297E+08,2.86512252921595E+07,-5.69227957280706E+07,-5.78565157506687E+00,1.32222793806442E+01,-8.67390948755495E+00,4.38236632981832E+08,
Hygiea,8.67000000000000E+19,2.16000000000000E+02,2.60000000000000E+00,-4.19985706977394E+08,-9.01711527158314E+07,-2.86573019134945E+07,5.13057849747415E+00,-1.76053564546037E+01,6.64497059849047E-02,4.30511407282506E+08,
Huya,5.01000000000000E+19,2.03000000000000E+02,1.43000000000000E+00,-1.05684117131242E+09,-4.02298602374773E+09,1.14861135869081E+09,5.93257442561334E+00,-1.95118968464064E+00,2.26529016599689E-01,4.31516371206982E+09,
Larissa,4.20000000000000E+18,9.70000000000000E+01,1.20000000000000E+00,4.43166610939185E+09,-6.12810175304067E+08,-8.95197933771011E+07,-3.77723942465493E+00,1.26824696156911E+01,4.34618233416677E+00,4.47473067452051E+09,Neptune
Galatea,2.12000000000000E+18,8.80000000000000E+01,7.50000000000000E-01,4.43161226288731E+09,-6.12793744734609E+08,-8.94916670259029E+07,-9.04926389355434E+00,5.10088045527372E+00,3.76229935481945E+00,4.47467453348578E+09,Neptune